domain,problem,agents,heuristic,recursionLevel,totalTime,initHeuristic,initHeuristicDist,searchTime,expandedStates,expandedStatesGlobal,expandedStatesLocal,searchMessages,heuristicRequestMessages,heuristicReplyMessages,totalMessages,totalBytes,globalSearchTime,localSearchTime,globalHeuristicTime,localHeuristicTime,otherHeuristicTime,searchTimes,globalSearchTimes,localSearchTimes,globalHeuristicTimes,localHeuristicTimes,otherHeuristicTimes,planLength,maxRecursionDepth,planValid,finished
benchmarks/depot,benchmarks/depot/pfile1.pddl,5,FF,0,518,{truck0=5 depot0=5 truck1=5 distributor1=5 distributor0=5},{},0,147,0,0,32,0,0,32,1860,0,0,0,0,0,,,,,,,16,0,true,true
benchmarks/depot,benchmarks/depot/pfile10.pddl,8,FF,0,25197,{truck0=15 depot1=15 depot0=15 truck1=11 depot2=15 distributor1=15 distributor2=16 distributor0=15},{},0,688757,0,0,198668,0,0,198668,26203056,0,0,0,0,0,,,,,,,93,0,true,true
benchmarks/depot,benchmarks/depot/pfile13.pddl,8,FF,0,3022,{truck0=13 depot1=13 depot0=13 truck1=13 depot2=13 distributor1=13 distributor2=13 distributor0=13},{},0,9736,0,0,3339,0,0,3339,492692,0,0,0,0,0,,,,,,,37,0,true,true
benchmarks/depot,benchmarks/depot/pfile16.pddl,8,FF,0,10288,{truck0=15 depot1=17 depot0=17 truck2=17 truck1=17 truck3=19 distributor1=20 distributor0=17},{},0,121464,0,0,53116,0,0,53116,8274708,0,0,0,0,0,,,,,,,31,0,true,true
benchmarks/depot,benchmarks/depot/pfile19.pddl,12,FF,0,-1,{truck0=16 depot1=16 depot0=22 depot3=18 truck2=16 truck1=16 depot2=16 truck3=16 distributor3=16 distributor1=16 distributor2=16 distributor0=16},{},0,15386405,0,0,2956075,0,0,2956075,555695852,0,0,0,0,0,,,,,,,2147483647,0,false,false
benchmarks/depot,benchmarks/depot/pfile2.pddl,5,FF,0,737,{truck0=8 depot0=8 truck1=8 distributor1=8 distributor0=8},{},0,794,0,0,219,0,0,219,18312,0,0,0,0,0,,,,,,,32,0,true,true
benchmarks/depot,benchmarks/depot/pfile3.pddl,5,FF,0,1290,{truck0=22 depot0=27 truck1=22 distributor1=24 distributor0=24},{},0,8136,0,0,2587,0,0,2587,279396,0,0,0,0,0,,,,,,,87,0,true,true
benchmarks/depot,benchmarks/depot/pfile4.pddl,5,FF,0,1749,{truck0=16 depot0=16 truck1=16 distributor1=18 distributor0=16},{},0,7627,0,0,2575,0,0,2575,339504,0,0,0,0,0,,,,,,,91,0,true,true
benchmarks/depot,benchmarks/depot/pfile5.pddl,5,FF,0,37828,{truck0=27 depot0=26 truck1=27 distributor1=28 distributor0=31},{},0,699971,0,0,229573,0,0,229573,35794512,0,0,0,0,0,,,,,,,227,0,true,true
benchmarks/depot,benchmarks/depot/pfile7.pddl,5,FF,0,1211,{truck0=11 depot0=11 truck1=11 distributor1=11 distributor0=11},{},0,1945,0,0,595,0,0,595,71280,0,0,0,0,0,,,,,,,54,0,true,true
benchmarks/depot,benchmarks/depot/pfile8.pddl,5,FF,0,13655,{truck0=18 depot0=21 truck1=18 distributor1=23 distributor0=23},{},0,148903,0,0,60572,0,0,60572,10168032,0,0,0,0,0,,,,,,,107,0,true,true
benchmarks/depot,benchmarks/depot/pfile1.pddl,5,FF,0,309,{truck0=5 depot0=5 truck1=5 distributor1=5 distributor0=5},{},0,124,0,0,27,0,0,27,1560,0,0,0,0,0,,,,,,,12,0,true,true
benchmarks/depot,benchmarks/depot/pfile10.pddl,8,FF,0,26997,{truck0=15 depot1=15 depot0=15 truck1=11 depot2=15 distributor1=15 distributor2=16 distributor0=15},{},0,773755,0,0,224662,0,0,224662,29646936,0,0,0,0,0,,,,,,,55,0,true,true
benchmarks/depot,benchmarks/depot/pfile13.pddl,8,FF,0,3056,{truck0=13 depot1=13 depot0=13 truck1=13 depot2=13 distributor1=13 distributor2=13 distributor0=13},{},0,9287,0,0,3670,0,0,3670,541532,0,0,0,0,0,,,,,,,36,0,true,true
