domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,FF, 0,   3773.9, 60.2,  14340.0,     0.0,      0.0,  10848.8,      0.0,      0.0,   10848.8,   120.20,    0.0,   3484.6,      0.0,    16.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,PPsaFF-glcl,-1,   2918.0, 54.8,   8370.0,   264.8,   8104.9,   5577.1,   1007.4,   1007.8,    7592.3,     2.50,  113.8,    143.3,   2173.9,    19.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,PPsaFF-sync,-1,   4203.3, 63.0,   6259.8,     0.0,      0.0,   4585.7,  23489.6,  23495.1,   51570.4,   343.50,    0.0,   2134.1,      0.0,   784.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-1.pddl,FF, 0,   5702.6, 90.6,  27305.4,     0.0,      0.0,  19845.9,      0.0,      0.0,   19845.9,   194.50,    0.0,   5029.5,      0.0,    31.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-1.pddl,PPsaFF-glcl,-1,   5533.3, 83.4,  24960.8,   885.8,  24073.6,  17202.9,   3360.8,   3361.3,   23925.0,     4.40,  206.7,    241.2,   3950.6,    39.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-1.pddl,PPsaFF-sync,-1,   3441.4, 68.8,   5326.6,     0.0,      0.0,   4044.3,  20185.5,  20187.6,   44417.4,   304.20,    0.0,   1951.4,      0.0,   790.2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-2.pddl,FF, 0,  14499.4, 67.8, 111737.5,     0.0,      0.0,  71958.7,      0.0,      0.0,   71958.7,   441.00,    0.0,  13811.5,      0.0,    85.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-2.pddl,PPsaFF-glcl,-1,  10938.3, 60.8,  65092.0,  2994.9,  62100.9,  41976.7,  10865.9,  10866.5,   63709.1,    10.90,  398.7,    547.4,   8062.7,    81.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-2.pddl,PPsaFF-sync,-1,   3658.3, 63.2,   5223.0,     0.0,      0.0,   3946.2,  18992.7,  18992.1,   41931.0,   330.90,    0.0,   1918.5,      0.0,   731.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-0.pddl,FF, 0,   6146.5, 66.8,  30785.3,     0.0,      0.0,  25856.8,      0.0,      0.0,   25856.9,   175.30,    0.0,   5990.8,      0.0,    28.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-0.pddl,PPsaFF-glcl,-1,   4626.1, 71.4,  16498.9,   463.4,  16034.4,  11896.2,   1802.1,   1802.0,   15500.3,     1.70,  156.1,    190.7,   3525.8,    29.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-0.pddl,PPsaFF-sync,-1,   3702.9, 71.2,   8505.0,     0.0,      0.0,   5939.4,  33160.4,  33162.7,   72262.5,   451.30,    0.0,   2921.1,      0.0,  1215.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-1.pddl,FF, 0,   2143.1, 78.8,   7752.8,     0.0,      0.0,   6675.8,      0.0,      0.0,    6675.8,    94.40,    0.0,   2905.5,      0.0,    14.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-1.pddl,PPsaFF-glcl,-1,   7365.5, 78.2,  34503.0,  1075.3,  33426.8,  22788.1,   4050.8,   4051.2,   30890.1,     4.40,  241.3,    295.4,   5519.5,    53.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-1.pddl,PPsaFF-sync,-1,  16899.0,109.2,  28203.8,     0.0,      0.0,  20591.1, 110596.7, 110609.0,  241796.8,  1258.20,    0.0,   8425.7,      0.0,  3385.2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-2.pddl,FF, 0, 145183.9,121.0,1076275.7,     0.0,      0.0, 701180.0,      0.0,      0.0,  701180.0,  4061.90,    0.0, 130773.5,      0.0,   842.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-2.pddl,PPsaFF-glcl,-1,  19473.4, 91.2, 129979.3,  5215.0, 124769.5,  79181.8,  22409.0,  22409.7,  124000.5,    22.80,  619.6,    948.6,  15679.4,   158.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-2.pddl,PPsaFF-sync,-1,   6294.1, 99.4,  10755.3,     0.0,      0.0,   7859.1,  42433.6,  42437.2,   92729.9,   558.90,    0.0,   3513.0,      0.0,  1401.4
