domain,problem,heuristic,recursionLevel,totalTimeM,planLengthM,expandedStatesM
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,FF, 0,   2241.2,        61.6,   14782.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,PPsaFF-glcl,-1,   2252.4,        61.2,   11666.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,PPsaFF-sync,-1,   5087.2,        60.2,   14401.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-1.pddl,FF, 0,   2522.7,        78.4,   24260.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-1.pddl,PPsaFF-glcl,-1,   2489.6,        78.8,   19493.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-1.pddl,PPsaFF-sync,-1,   3067.7,        70.2,    4914.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-2.pddl,FF, 0,   4424.7,        66.6,   90304.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-2.pddl,PPsaFF-glcl,-1,   3265.5,        54.6,   41800.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-2.pddl,PPsaFF-sync,-1,   3262.2,        66.8,    5835.2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-0.pddl,FF, 0,   2660.5,        60.6,   14770.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-0.pddl,PPsaFF-glcl,-1,   2434.7,        62.0,    6893.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-0.pddl,PPsaFF-sync,-1,   3246.5,        56.8,    3805.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-1.pddl,FF, 0,   2750.7,        92.8,   18406.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-1.pddl,PPsaFF-glcl,-1,   2690.9,        73.0,   12610.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-1.pddl,PPsaFF-sync,-1,  10035.2,       106.0,   31030.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-2.pddl,FF, 0,  10575.7,        88.4,  294881.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-2.pddl,PPsaFF-glcl,-1,   5511.5,        71.2,   93219.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-2.pddl,PPsaFF-sync,-1,   3916.4,        84.6,    5924.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-0.pddl,FF, 0,   4587.8,       107.4,   63324.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-0.pddl,PPsaFF-glcl,-1,   5861.0,        91.0,   79193.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-0.pddl,PPsaFF-sync,-1,  10300.4,       123.2,   40438.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-1.pddl,FF, 0,   4187.3,       103.8,   40833.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-1.pddl,PPsaFF-glcl,-1,  10329.5,       114.4,  185793.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-1.pddl,PPsaFF-sync,-1,   9638.9,       139.2,   33153.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-0.pddl,FF, 0,  18825.2,       146.4,  320578.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-0.pddl,PPsaFF-glcl,-1,  15638.8,       161.6,  246586.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-0.pddl,PPsaFF-sync,-1,  17645.7,       169.6,   58663.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-1.pddl,FF, 0,  18284.4,       129.2,  307429.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-1.pddl,PPsaFF-glcl,-1,  22155.3,       137.8,  380016.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-1.pddl,PPsaFF-sync,-1,  17980.4,       152.6,   57542.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-14-0.pddl,FF, 0,  10997.4,        93.2,  124143.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-14-0.pddl,PPsaFF-glcl,-1,  10414.5,        94.4,  113123.2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-14-0.pddl,PPsaFF-sync,-1,  22266.3,       162.2,   55776.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-14-1.pddl,FF, 0, 160926.1,       161.0, 2666318.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-14-1.pddl,PPsaFF-glcl,-1,  13280.5,       118.6,  155206.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-14-1.pddl,PPsaFF-sync,-1,  44878.9,       175.6,   97379.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-15-0.pddl,FF, 0, 318091.8,       190.0, 3377264.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-15-0.pddl,PPsaFF-glcl,-1,  49453.2,       197.4,  612935.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-15-0.pddl,PPsaFF-sync,-1, 140585.8,       232.6,  339173.2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-15-1.pddl,FF, 0,  44132.6,       175.8,  453666.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-15-1.pddl,PPsaFF-glcl,-1,  27523.1,       195.2,  322369.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-15-1.pddl,PPsaFF-sync,-1,  38198.3,       258.6,   80920.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-16-1.pddl,FF, 0, 131999.5,       216.5, 1309850.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-16-1.pddl,PPsaFF-glcl,-1,  50731.3,       162.4,  576441.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-16-1.pddl,PPsaFF-sync,-1, 132062.0,       256.8,  287024.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-16-2.pddl,FF, 0,  99969.9,       166.0, 1012034.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-16-2.pddl,PPsaFF-glcl,-1,  47239.2,       180.6,  510814.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-16-2.pddl,PPsaFF-sync,-1,  31014.5,       161.4,   60984.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-17-0.pddl,PPsaFF-glcl,-1, 189847.5,       208.0, 1852726.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-17-0.pddl,PPsaFF-sync,-1, 102620.5,       287.0,  183231.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-0.pddl,FF, 0,    391.6,        10.2,     202.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-0.pddl,PPsaFF-glcl,-1,    571.4,         9.6,     493.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-0.pddl,PPsaFF-sync,-1,    668.5,         8.4,     323.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-1.pddl,FF, 0,    458.5,        16.4,     392.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-1.pddl,PPsaFF-glcl,-1,    469.2,        12.0,     242.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-1.pddl,PPsaFF-sync,-1,    660.3,        11.8,     316.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-2.pddl,FF, 0,    375.3,         8.6,     145.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-2.pddl,PPsaFF-glcl,-1,    372.0,         6.0,      42.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-4-2.pddl,PPsaFF-sync,-1,    572.1,         7.6,     142.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-0.pddl,FF, 0,    638.9,        20.0,    1651.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-0.pddl,PPsaFF-glcl,-1,    688.9,        11.2,     668.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-0.pddl,PPsaFF-sync,-1,    719.6,        14.0,     191.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-1.pddl,FF, 0,    645.6,        25.8,    1381.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-1.pddl,PPsaFF-glcl,-1,    712.9,        14.4,     787.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-1.pddl,PPsaFF-sync,-1,    884.4,        26.0,     942.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-2.pddl,FF, 0,    678.3,        25.8,    2118.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-2.pddl,PPsaFF-glcl,-1,    785.2,        20.0,    2084.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-5-2.pddl,PPsaFF-sync,-1,    877.1,        29.4,     949.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-0.pddl,FF, 0,    893.0,        28.2,    6718.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-0.pddl,PPsaFF-glcl,-1,    941.9,        33.8,    6112.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-0.pddl,PPsaFF-sync,-1,   1016.2,        33.4,    1275.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-1.pddl,FF, 0,    632.6,        12.8,     103.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-1.pddl,PPsaFF-glcl,-1,    704.2,        13.6,     257.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-1.pddl,PPsaFF-sync,-1,    848.5,        18.2,     522.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-2.pddl,FF, 0,    887.0,        39.8,    6580.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-2.pddl,PPsaFF-glcl,-1,   1004.4,        38.4,    8042.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-6-2.pddl,PPsaFF-sync,-1,   1057.0,        37.6,    1632.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-0.pddl,FF, 0,    957.3,        34.2,    3354.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-0.pddl,PPsaFF-glcl,-1,   1028.3,        28.8,    2976.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-0.pddl,PPsaFF-sync,-1,   1375.3,        47.4,    2439.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-1.pddl,FF, 0,    946.3,        31.0,    2852.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-1.pddl,PPsaFF-glcl,-1,   1057.4,        38.6,    2903.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-1.pddl,PPsaFF-sync,-1,   1350.5,        48.8,    2237.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-2.pddl,FF, 0,    984.8,        45.8,    3971.2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-2.pddl,PPsaFF-glcl,-1,   1066.3,        37.8,    3602.7
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-7-2.pddl,PPsaFF-sync,-1,   1276.0,        39.4,    1713.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-0.pddl,FF, 0,   1414.2,        47.4,   10857.6
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-0.pddl,PPsaFF-glcl,-1,   1591.2,        46.0,   11312.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-0.pddl,PPsaFF-sync,-1,   2720.8,        81.2,    9360.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-1.pddl,FF, 0,   1392.2,        48.8,    9923.2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-1.pddl,PPsaFF-glcl,-1,   1585.7,        48.0,    9833.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-1.pddl,PPsaFF-sync,-1,   1984.2,        53.2,    4492.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-2.pddl,FF, 0,   1304.2,        43.8,    6045.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-2.pddl,PPsaFF-glcl,-1,   1301.5,        26.6,    2402.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-8-2.pddl,PPsaFF-sync,-1,   1916.4,        55.6,    3726.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-0.pddl,FF, 0,   3063.3,        84.0,   63931.4
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-0.pddl,PPsaFF-glcl,-1,   2638.6,        70.4,   33290.3
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-0.pddl,PPsaFF-sync,-1,   2641.1,        72.2,    5851.5
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-1.pddl,FF, 0,   2508.4,        64.6,   35758.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-1.pddl,PPsaFF-glcl,-1,   2202.2,        64.4,   19812.8
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-1.pddl,PPsaFF-sync,-1,   3016.9,        87.2,    8437.0
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-2.pddl,FF, 0,   3743.5,        62.6,   83540.1
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-2.pddl,PPsaFF-glcl,-1,   3566.5,        74.8,   65476.9
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-9-2.pddl,PPsaFF-sync,-1,   2730.4,        81.4,    6169.7
benchmarks/depot,benchmarks/depot/pfile10.pddl,FF, 0,  32253.8,        76.5,  886402.3
benchmarks/depot,benchmarks/depot/pfile10.pddl,PPsaFF-glcl,-1,  18734.9,       117.0,  627238.2
benchmarks/depot,benchmarks/depot/pfile10.pddl,PPsaFF-sync,-1, 471118.5,       149.1, 1226905.7
benchmarks/depot,benchmarks/depot/pfile11.pddl,FF, 0,     -1.0,2147483647.0,13234271.0
benchmarks/depot,benchmarks/depot/pfile11.pddl,PPsaFF-glcl,-1, 723189.2,       351.1, 8557212.4
benchmarks/depot,benchmarks/depot/pfile11.pddl,PPsaFF-sync,-1, 410838.0,       354.5,  122948.0
benchmarks/depot,benchmarks/depot/pfile13.pddl,FF, 0,   2888.5,        33.7,    6327.6
benchmarks/depot,benchmarks/depot/pfile13.pddl,PPsaFF-glcl,-1,   2829.4,        34.5,    2316.7
