domain,meanLE,meanGE,meanGL,meanLG,meanHeurTimePerStateL,meanHeurTimePerStateG,meanHeurTimePerStateGO,meanHeurRatio
benchmarks/blocksworld,0.94,0.061,0.066,  19.9,0.40,0.67, 0.72,1.7
benchmarks/depot,0.96,0.037,0.042,2813.2,0.68,6.34, 9.63,8.0
benchmarks/driverlog,0.80,0.204,0.303,  29.5,0.90,1.08, 1.12,1.3
benchmarks/elevators08,0.94,0.059,0.064,  23.8,0.29,0.39, 0.43,1.5
benchmarks/logistics00,0.95,0.049,0.055,  51.0,0.20,0.58, 0.75,6.3
benchmarks/openstacks,0.67,0.331,0.597,   2.9,2.33,1.58, 1.59,0.9
benchmarks/rovers,0.75,0.252,0.384,   4.0,0.37,0.42, 0.45,1.4
benchmarks/satellites,0.77,0.230,0.361,  22.7,0.28,1.72, 2.39,9.8
benchmarks/woodworking08,0.90,0.097,0.121,1225.1,2.23,9.78,12.18,7.4
benchmarks/zenotravel,0.77,0.229,0.389,  36.7,0.51,0.79, 0.85,1.6
