domain,problem,agents,heuristic,recursionLevel,totalTime,initHeuristic,initHeuristicDist,searchTime,expandedStates,expandedStatesGlobal,expandedStatesLocal,searchMessages,heuristicRequestMessages,heuristicReplyMessages,totalMessages,totalBytes,globalSearchTime,localSearchTime,globalHeuristicTime,localHeuristicTime,otherHeuristicTime,searchTimes,globalSearchTimes,localSearchTimes,globalHeuristicTimes,localHeuristicTimes,otherHeuristicTimes,planLength,maxRecursionDepth,planValid,finished
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,1790,{a1=15 a2=15 a3=15 a4=15},{},0,3690,0,0,3027,0,0,3027,301400,0,0,0,0,0,,,,,,,68,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,1834,{a1=15 a2=15 a3=15 a4=15},{},0,4578,0,0,3660,0,0,3660,364000,0,0,0,0,0,,,,,,,60,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,1879,{a1=15 a2=15 a3=15 a4=15},{},0,3930,0,0,3385,0,0,3385,336700,0,0,0,0,0,,,,,,,52,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,1925,{a1=15 a2=15 a3=15 a4=15},{},0,5826,0,0,5150,0,0,5150,511500,0,0,0,0,0,,,,,,,60,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,1934,{a1=15 a2=15 a3=15 a4=15},{},0,5647,0,0,4925,0,0,4925,489600,0,0,0,0,0,,,,,,,58,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,2031,{a1=15 a2=15 a3=15 a4=15},{},0,5903,0,0,4980,0,0,4980,495600,0,0,0,0,0,,,,,,,66,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,2098,{a1=15 a2=15 a3=15 a4=15},{},0,10168,0,0,8925,0,0,8925,886200,0,0,0,0,0,,,,,,,60,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,2279,{a1=15 a2=15 a3=15 a4=15},{},0,17679,0,0,14808,0,0,14808,1471600,0,0,0,0,0,,,,,,,70,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,2685,{a1=15 a2=15 a3=15 a4=15},{},0,26990,0,0,22328,0,0,22328,2226400,0,0,0,0,0,,,,,,,54,0,true,true
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,4,FF,0,3957,{a1=15 a2=15 a3=15 a4=15},{},0,63416,0,0,42482,0,0,42482,4240400,0,0,0,0,0,,,,,,,68,0,true,true
