domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM,domainShort,problemShort,ratioLE,ratioGE,ratioGL,ratioLG,heurTimePerStateL,heurTimePerStateG,heurTimePerStateGO,heurRatio,plotchar,color
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-0.pddl,PPsaFF-glcl,-1,   2918.0, 54.8,   8370.0,   264.8,   8104.9,   5577.1,   1007.4,   1007.8,   7592.3,   2.50,  113.8,   143.3,   2173.9,   19.9,blocksworld,blocksworld/probBLOCKS-10-0.pddl,0.97,0.031637,0.032672,   30.61, 0.268, 0.541, 0.616,  2.30, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-1.pddl,PPsaFF-glcl,-1,   5533.3, 83.4,  24960.8,   885.8,  24073.6,  17202.9,   3360.8,   3361.3,  23925.0,   4.40,  206.7,   241.2,   3950.6,   39.8,blocksworld,blocksworld/probBLOCKS-10-1.pddl,0.96,0.035488,0.036795,   27.18, 0.164, 0.272, 0.317,  1.93, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-10-2.pddl,PPsaFF-glcl,-1,  10938.3, 60.8,  65092.0,  2994.9,  62100.9,  41976.7,  10865.9,  10866.5,  63709.1,  10.90,  398.7,   547.4,   8062.7,   81.5,blocksworld,blocksworld/probBLOCKS-10-2.pddl,0.95,0.046010,0.048226,   20.74, 0.130, 0.183, 0.210,  1.62, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-0.pddl,PPsaFF-glcl,-1,   4626.1, 71.4,  16498.9,   463.4,  16034.4,  11896.2,   1802.1,   1802.0,  15500.3,   1.70,  156.1,   190.7,   3525.8,   29.0,blocksworld,blocksworld/probBLOCKS-11-0.pddl,0.97,0.028087,0.028900,   34.60, 0.220, 0.412, 0.474,  2.16, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-1.pddl,PPsaFF-glcl,-1,   7365.5, 78.2,  34503.0,  1075.3,  33426.8,  22788.1,   4050.8,   4051.2,  30890.1,   4.40,  241.3,   295.4,   5519.5,   53.9,blocksworld,blocksworld/probBLOCKS-11-1.pddl,0.97,0.031165,0.032169,   31.09, 0.165, 0.275, 0.325,  1.97, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-11-2.pddl,PPsaFF-glcl,-1,  19473.4, 91.2, 129979.3,  5215.0, 124769.5,  79181.8,  22409.0,  22409.7, 124000.5,  22.80,  619.6,   948.6,  15679.4,  158.6,blocksworld,blocksworld/probBLOCKS-11-2.pddl,0.96,0.040122,0.041797,   23.93, 0.126, 0.182, 0.212,  1.69, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-0.pddl,PPsaFF-glcl,-1,  21063.2,104.4, 107073.5,  7758.3,  99326.5,  69589.8,  26520.3,  26521.0, 122631.1,  34.80,  544.8,  1264.0,  14009.2,  118.4,blocksworld,blocksworld/probBLOCKS-12-0.pddl,0.93,0.072458,0.078109,   12.80, 0.141, 0.163, 0.178,  1.26, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-12-1.pddl,PPsaFF-glcl,-1,  40844.2,120.8, 215852.2, 13215.5, 202646.0, 142606.4,  50206.2,  50207.8, 243020.4,  54.90, 1065.9,  2096.4,  28273.5,  253.9,blocksworld,blocksworld/probBLOCKS-12-1.pddl,0.94,0.061225,0.065215,   15.33, 0.140, 0.159, 0.178,  1.27, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-0.pddl,PPsaFF-glcl,-1,  39152.9,116.4, 172950.4,  9786.1, 163175.6, 122528.3,  38659.4,  38659.7, 199847.4,  41.30,  933.1,  1956.2,  28655.9,  196.7,blocksworld,blocksworld/probBLOCKS-13-0.pddl,0.94,0.056583,0.059973,   16.67, 0.176, 0.200, 0.220,  1.25, 1.0,red2
benchmarks/blocksworld,benchmarks/blocksworld/probBLOCKS-13-1.pddl,PPsaFF-glcl,-1,  48415.5,130.2, 215032.4, 12105.1, 202939.0, 152413.3,  46123.5,  46124.5, 244661.3,  50.30, 1095.4,  2371.0,  35060.1,  236.8,blocksworld,blocksworld/probBLOCKS-13-1.pddl,0.94,0.056294,0.059649,   16.76, 0.173, 0.196, 0.215,  1.25, 1.0,red2
