problem	agents	FF-h0/totalTimeM	FF-h0/totalTimeV	FF-h0/expandedStatesM	FF-h0/expandedStatesV	FF-h0/totalBytesM	FF-h0/totalBytesV	FF-h0/planLengthM	FF-h0/planLengthV	PPsaFF-sync-h-1/totalTimeM	PPsaFF-sync-h-1/totalTimeV	PPsaFF-sync-h-1/expandedStatesM	PPsaFF-sync-h-1/expandedStatesV	PPsaFF-sync-h-1/totalBytesM	PPsaFF-sync-h-1/totalBytesV	PPsaFF-sync-h-1/planLengthM	PPsaFF-sync-h-1/planLengthV	PPsaFF-glcl-h-1/totalTimeM	PPsaFF-glcl-h-1/totalTimeV	PPsaFF-glcl-h-1/expandedStatesM	PPsaFF-glcl-h-1/expandedStatesV	PPsaFF-glcl-h-1/totalBytesM	PPsaFF-glcl-h-1/totalBytesV	PPsaFF-glcl-h-1/planLengthM	PPsaFF-glcl-h-1/planLengthV
benchmarks/blocksworld/probBLOCKS-10-0.pddl	 4.0	   2.2	0.7	   14.8	18.7	   1.1	1.3	 62.0	6	  5.1	2	  14.4	9.8	   9.3	6.4	 60.0	20	  2.3	0.3	  11.7	9	  1.0	0.8	 61.0	10
benchmarks/blocksworld/probBLOCKS-10-1.pddl	 4.0	   2.5	1	   24.3	34.4	   1.7	2.3	 78.0	13	  3.1	0.1	   4.9	0.6	   3.2	0.4	 70.0	6	  2.5	0.5	  19.5	13.4	  1.7	1.2	 79.0	17
benchmarks/blocksworld/probBLOCKS-10-2.pddl	 4.0	   4.4	0.9	   90.3	34.7	   5.9	2	 67.0	17	  3.3	0.3	   5.8	1.3	   3.7	0.8	 67.0	5	  3.3	0.5	  41.8	15.4	  3.7	1.4	 55.0	9
benchmarks/blocksworld/probBLOCKS-11-0.pddl	 4.0	   2.7	0.7	   14.8	17.5	   1.3	1.5	 61.0	24	  3.2	1.2	   3.8	4.5	   2.7	3.2	 57.0	9	  2.4	0.4	   6.9	9.6	  0.6	0.9	 62.0	23
benchmarks/blocksworld/probBLOCKS-11-1.pddl	 4.0	   2.8	1.3	   18.4	35	   1.7	3.2	 93.0	18	 10.0	1.1	  31.0	4.7	  22.4	3.4	106.0	14	  2.7	0.3	  12.6	5.9	  1.1	0.6	 73.0	14
benchmarks/blocksworld/probBLOCKS-11-2.pddl	 4.0	  10.6	3.4	  294.9	129.6	  17.4	5.8	 88.0	23	  3.9	0.4	   5.9	1.3	   4.6	1.1	 85.0	17	  5.5	1.6	  93.2	48.3	  8.4	4.7	 71.0	24
benchmarks/blocksworld/probBLOCKS-12-0.pddl	 4.0	   4.6	1.6	   63.3	49.6	   4.6	3.4	107.0	33	 10.3	5.3	  40.4	28.8	  24.5	16.9	123.0	34	  5.9	0.8	  79.2	21.7	  9.0	2.4	 91.0	16
benchmarks/blocksworld/probBLOCKS-12-1.pddl	 4.0	   4.2	1.1	   40.8	29.1	   3.7	2.8	104.0	32	  9.6	4.8	  33.2	23.6	  21.9	15	139.0	39	 10.3	8.2	 185.8	198.8	 21.3	23	114.0	25
benchmarks/blocksworld/probBLOCKS-13-0.pddl	 4.0	  18.8	6.3	  320.6	123.6	  33.9	13.3	146.0	41	 17.6	11	  58.7	45.7	  42.6	33.4	170.0	68	 15.6	5.7	 246.6	111.2	 30.6	14.5	162.0	40
benchmarks/blocksworld/probBLOCKS-13-1.pddl	 4.0	  18.3	11	  307.4	223	  30.1	22.8	129.0	37	 18.0	16.1	  57.5	60.1	  42.8	46.8	153.0	39	 22.2	12.4	 380.0	250.2	 47.6	31.4	138.0	58
